CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;REF_ARQUIVO_PDF;DESC_ENUNCIADO;DESC_ALTER_A;DESC_ALTER_B;DESC_ALTER_C;DESC_ALTER_D;DESC_ALTER_E;IN_ITEM_IMAGEM
6;LC;150678;E;20;0;;3.15898;0.16783;0.17207;AZUL;1395;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;Expressões e termos utilizados no Amazonas são retratados em livro e em camisetas “Na linguagem, podemos nos ver da forma mais verdadeira: nossas crenças, nossos valores, nosso lugar no mundo”, afirmou o doutor em linguística e professor da Ufam em seu livro Amazonês: expressões e termos usados no Amazonas. Portanto, o amazonense, com todas as suas “cunhantãs” e “curumins”, acaba por encontrar um lugar no mundo e formar uma unidade linguística, informalmente denominada de português “caboco”, que muito se diferencia do português “mineiro”, “gaúcho”, “carioca” e de tantos outros espalhados pelo Brasil. O livro, que conta com cerca de 1 100 expressões e termos típicos do falar amazonense, levou dez anos para ser construído. Para o autor, o principal objetivo da obra é registrar a linguagem. Um designer amazonense também acha o amazonês “xibata”, tanto é que criou uma série de camisetas estampadas com o nome de Caboquês Ilustrado, que mistura o bom humor com as expressões típicas da região. A coleção conta com sete modelos já lançados, entre eles: Leseira Baré, Xibata no Balde e Até o Tucupi, e 43 ainda na fila de espera. Para o criador, as camisas têm como objetivo “resgatar o orgulho do povo manauara, do povo do Norte”. Disponível em: https://g1.globo.com. Acesso em: 15 jan. 2024 (adaptado). A reportagem apresenta duas iniciativas: o livro Amazonês e as camisetas do Caboquês Ilustrado. Com temática em comum, essas iniciativas;recomendam produtos feitos por empreendedores da região Norte.;ressaltam diferenças entre o falar manauara e outros falares.;reverenciam o trabalho feito por pesquisadores brasileiros.;destacam a descontração no jeito de ser do amazonense.;valorizam o repertório linguístico do povo do Amazonas.;0
7;LC;118297;B;17;0;;2.32301;0.39677;0.16215;VERDE;1397;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;pessoas com suas malas mochilas e valises chegam e se vão se encontram se despedem e se despem de seus pertences como se pudessem chegar a algum lugar onde elas mesmas não estivessem RUIZ, A. In: SANT’ANNA, A. Rua Aribau: coletânea de poemas. Porto Alegre: TAG, 2018. Esse poema, por meio da ideia de deslocamento, metaforiza a tentativa de pessoas;buscarem novos encontros.;fugirem da própria identidade.;procurarem lugares inexplorados.;partirem em experiências inusitadas.;desaparecerem da vida em sociedade.;0
7;LC;141460;A;2;0;;2.39673;0.03767;0.26467;AMARELA;1396;;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;O Brasil somou cerca de 60 mil novos casos de câncer de mama até o final de 2019, número que corresponde a 25% de todos os diagnósticos da condição registrados no país, segundo dados do Instituto Nacional do Câncer (Inca). Apesar de o Outubro Rosa ser o mês de conscientização sobre a questão voltada para as mulheres, é muito importante lembrar que um dos grandes mitos da medicina é o de que o câncer de mama não afeta o sexo masculino. Fatores importantes para detectar o câncer de mama masculino: 1.  Genética: se houver casos na família, as chances são um pouco mais elevadas. 2.  Hormônios: homens podem desenvolver tecido real das glândulas mamárias por tomarem certos medicamentos ou apresentarem níveis hormonais anormais. 3.  Caroços: é necessário que os médicos se atentem a alguns sintomas suspeitos, como um caroço na área do tórax. 4.  Retração na pele: em situações mais graves do câncer de mama masculino, é possível também ocorrer uma retração do mamilo. Disponível em: https://pebmed.com.br. Acesso em: 24 nov. 2021 (adaptado). As informações dessa reportagem auxiliam no combate ao câncer de mama masculino por apresentarem um alerta sobre o(s);sinais indicadores da doença.;índice de crescimento de casos.;exames para diagnóstico do tumor.;mitos a respeito da herança genética.;período de campanhas de conscientização.;0
7;LC;150675;C;3;0;;2.79235;-0.3231;0.16431;AZUL;1395;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;Conheça histórias de atletas paralímpicas que trocaram de modalidade durante a carreira esportiva Jane Karla: a goiana de 45 anos teve poliomielite aos três anos, o que prejudicou seus movimentos das pernas. Em 2003, iniciou no tênis de mesa e conseguiu conquistar títulos nacionais e internacionais. Mas conheceu o tiro com arco e, em 2015, optou por se dedicar somente à nova modalidade. Em seu ano de estreia no tiro, já faturou a medalha de ouro nos Jogos Parapan-Americanos de Toronto 2015. Elizabeth Gomes: a santista de 55 anos era jogadora de vôlei quando foi diagnosticada com esclerose múltipla em 1993. Ingressou no Movimento Paralímpico pelo basquete em cadeira de rodas até experimentar o atletismo. Chegou a praticar as duas modalidades simultaneamente até optar pelas provas de campo em 2010. No Campeonato Mundial de Atletismo, realizado em Dubai, em 2019, Beth se sagrou campeã do lançamento de disco e estabeleceu um novo recorde mundial da classe F52. Silvana Fernandes: a paraibana de 21 anos é natural de São Bento e nasceu com malformação no braço direito. Aos 15 anos, começou a praticar atletismo no lançamento de dardo. Em 2018, enquanto competia na regional Norte-Nordeste, foi convidada para conhecer o paratae kwon do. No ano seguinte, migrou para a modalidade e já faturou o ouro na categoria até 58 kg nos Jogos Parapan-Americanos de Lima 2019. Disponível em: https://cpb.org.br. Acesso em: 15 jan. 2024 (adaptado). Esse conjunto de minibiografias tem como propósito;descrever as rotinas de treinamento das atletas.;comparar os desempenhos de atletas de alto rendimento.;destacar a trajetória profissional de atletas paralímpicas brasileiras.;indicar as categorias mais adequadas a adaptações paralímpicas.;estimular a participação de mulheres em campeonatos internacionais.;0
7;LC;150767;D;15;0;;2.13734;0.72568;0.23628;BRANCA;1398;;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;Até ali que sabia das misérias do mundo? Nada. Aquela noite do Castelo, tão simples, tão monótona, fora uma revelação! Era bem certo que a lágrima existia, que irrompiam soluços de peitos oprimidos, que para alguém os dias não tinham cor nem a noite tinha estrelas! Ela, criada entre beijos, no aroma dos seus jardins, com as vontades satisfeitas, o leito fofo, a mesa delicada, sentira sempre no coração um desejo sem nome, um desejo ou uma saudade absurda, a saudade do céu, como dizia o dr. Gervásio, e que não era mais que a doida aspiração da artista incipiente, que germinava no seu peito fraco. E aquela mesma mágoa parecia-lhe agora doce e embaladora, comparando-se à outra, a Sancha, da sua idade, negra, feia, suja, levada a pontapés, dormindo sem lençóis em uma esteira, comendo em pé, apressada, os restos parcos e frios de duas velhas, vestida de algodões rotos, curvada para um trabalho sem descanso nem paga! Por quê? Que direito teriam uns a todas as primícias e regalos da vida, se havia outros que nem por uma nesga viam a felicidade? ALMEIDA, J. L. A falência. Disponível em: www.dominiopublico.gov.br. Acesso em: 28 dez. 2023. Nesse fragmento do romance de Júlia Lopes de Almeida, escrito no cenário brasileiro pós-abolição, a narradora exprime um olhar crítico sobre a;desvalorização da arte produzida por mulheres.;mudança das condições de moradia do povo negro.;ruptura do projeto político de emancipação feminina.;exploração da força de trabalho da população negra.;disputa de poder entre brancos e negros no século XIX.;0
8;LC;141218;B;14;0;;2.44925;-0.00932;0.19459;AZUL;1395;;0;ENEM_2024_P1_CAD_01_DIA_1_AZUL.pdf;É fundamentalmente no Minho, norte de Portugal, que o cavaquinho aparece como instrumento tipicamente popular, ligado às formas essenciais da música característica dessa província. O cavaquinho minhoto tem escala rasa com o tampo, o que facilita a prática do “rasqueado”. O cavaquinho chega ao Brasil diretamente de Portugal, e o modelo brasileiro é maior do que a sua versão portuguesa, com uma caixa de ressonância mais funda. Semelhante ao cavaquinho minhoto, o machete, ou machetinho madeirense, é um pequeno cordófono de corda dedilhada, que faz parte da grande e diversificada família das violas de mão portuguesas. O ukulele tem a sua origem no século XIX, tendo como ancestrais o braguinha (ou machete) e o rajão, instrumentos levados pelos madeirenses quando eles emigraram para o Havaí. OLIVEIRA, E. V. Cavaquinhos e família. Disponível em: https://casadaguitarra.pt. Acesso em: 18 nov. 2021 (adaptado). O conjunto dessas práticas musicais demonstra que os instrumentos mencionados no texto;refletem a dependência da utilização de matéria-prima europeia.;adaptam suas características a cada cultura, assumindo nova identidade.;comprovam a hegemonia portuguesa na invenção de cordófonos dedilhados.;ilustram processos de dominação cultural, evidenciando situações de choque cultural.;mantêm nomenclatura própria para garantir a fidelidade às formas originais de confecção.;0
8;LC;150622;C;18;0;;1.32912;0.33346;0.01256;BRANCA;1398;;0;ENEM_2024_P1_CAD_03_DIA_1_BRANCO.pdf;Sempre passo nervoso quando leio minha crônica neste jornal e percebo que escapuliu a palavra “coisa” em alguma frase. Acontece que “coisa” está entre as coisas mais deliciosas do mundo. O primeiro banho da minha filha foi embalado pela minha voz dizendo, ao fundo, “cuidado, ela ainda é uma coisinha tão pequena”. “Viu só que amor? Nunca vi coisa assim”. O amor que não dá conta de explicação é “a coisa” em seu esplendor e excelência. “Alguma coisa acontece no meu coração” é a frase mais bonita que alguém já disse sobre São Paulo. E quando Caetano, citado aqui pela terceira vez pra defender a dimensão poética da coisa, diz “coisa linda”, nós sabemos que nenhuma palavra definiria de forma mais profunda e literária o quão bela e amada uma coisa pode ser. “Coisar” é verbo de quem está com pressa ou tem lapsos de memória. É pra quando “mexe qualquer coisa dentro doida”. E que coisa magnífica poder se expressar tal qual Caetano Veloso. Agora chega, porque “esse papo já tá qualquer coisa” e eu já tô “pra lá de Marrakech”. TATI BERNARDI. Disponível em: www1.folha.uol.com.br. Acesso em: 3 jan. 2024 (adaptado). O recurso utilizado na progressão textual para garantir a unidade temática dessa crônica é a;intertextualidade, marcada pela citação de versos de letras de canções.;metalinguagem, marcada pela referência à escrita de crônicas pela autora.;reiteração, marcada pela repetição de uma determinada palavra e de seus cognatos.;conexão, marcada pela presença dos conectores lógicos “quando” e “porque” entre orações.;pronominalização, marcada pela retomada de “minha filha” e “um namorado ruim” pelos pronomes “ela” e “lo”.;0
8;LC;150666;E;27;0;;3.54677;0.31786;0.12491;VERDE;1397;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;Falar errado é uma arte, Arnesto! No dia 6 de agosto de 1910, Emma Riccini Rubinato pariu um garoto sapeca em Valinhos e deu a ele o nome de João Rubinato. Na escola, João não passou do terceiro ano. Não era a área dele, tinha de escolher outra. Fez o que apareceu. Foi ser garçom, metalúrgico, até virar radialista, comediante, ator de cinema e TV, cantor e compositor. De samba. Como tinha sobrenome italiano, João resolveu mudar para emplacar seu samba. E como ia mudar o sobrenome, mudou o nome. Virou Adoniran Barbosa. O cara falava errado, voz rouca, pinta de malandro da roça. Virou ícone da música brasileira, o mais paulista de todos, falando errado e irritando Vinicius de Moraes, que ficou de bico fechado depois de ouvir a música que Adoniran fez para a letra Bom dia, tristeza, de autoria do Poetinha. Coisa de arrepiar. Para toda essa gente que implicava, Adoniran tinha uma resposta neoerudita: “Gosto de samba e não foi fácil, pra mim, ser aceito como compositor, porque ninguém queria nada com as minhas letras que falavam ‘nóis vai’, ‘nóis fumo’, ‘nóis fizemo’, ‘nóis peguemo’. Acontece que é preciso saber falar errado. Falar errado é uma arte, senão vira deboche”. Ele sabia o que fazia. Por isso dizia que falar errado era uma arte. A sua arte. Escolhida a dedo porque casava com seu tipo. O Samba do Arnesto é um monumento à fala errada, assim como Tiro ao Álvaro. O erudito podia resmungar, mas o povo se identificava. PEREIRA, E. Disponível em: www.tribunapr.com.br. Acesso em: 8 jul. 2024 (adaptado). O “falar errado” a que o texto se refere constitui um preconceito em relação ao uso que Adoniran Barbosa fazia da língua em suas composições, pois esse uso;marcava a linguagem dos comediantes no mesmo período.;prejudicava a compreensão das canções pelo público.;denunciava a ausência de estilo nas letras de canção.;restringia a criação poética nas letras do compositor.;transgredia a norma-padrão vigente à época.;0
8;LC;150747;D;4;0;;1.85835;-0.12011;0.08169;AMARELA;1396;;0;ENEM_2024_P1_CAD_02_DIA_1_AMARELO.pdf;"Feijoada à minha moda Amiga Helena Sangirardi Conforme um dia prometi Onde, confesso que esqueci E embora — perdoe — tão tarde (Melhor do que nunca!) este poeta Segundo manda a boa ética Envia-lhe a receita (poética) De sua feijoada completa. Em atenção ao adiantado Da hora em que abrimos o olho O feijão deve, já catado Nos esperar, feliz, de molho. Uma vez cozido o feijão (Umas quatro horas, fogo médio) Nós, bocejando o nosso tédio Nos chegaremos ao fogão [...] De carne-seca suculenta Gordos paios, nédio toucinho (Nunca orelhas de bacorinho Que a tornam em excesso opulenta!) [...] Enquanto ao lado, em fogo brando Desmilinguindo-se de gozo Deve também se estar fritando O torresminho delicioso Em cuja gordura, de resto (Melhor gordura nunca houve!) Deve depois frigir a couve Picada, em fogo alegre e presto. [...] Dever cumprido. Nunca é vã A palavra de um poeta... — jamais! Abraça-a, em Brillat-Savarin, O seu Vinicius de Moraes. MORAES, V. In: CÍCERO, A.; QUEIROZ, E. (Org.). Vinicius de Moraes: nova antologia poética. São Paulo: Cia. das Letras, 2005 (fragmento). Apesar de haver marcas formais de carta e receita, a característica que define esse texto como poema é o(a)";nomeação de um interlocutor.;manifestação de intimidade.;descrição de procedimentos.;utilização de uma linguagem expressiva.;apresentação de ingredientes culinários.;0
9;LC;118217;D;9;0;;2.59075;0.81709;0.21069;VERDE;1397;;0;ENEM_2024_P1_CAD_04_DIA_1_VERDE.pdf;"O festival folclórico de Parintins, no Amazonas, anunciou que o Boi Caprichoso levou, em 2018, seu 23º título — contra 31 do adversário Boi Garantido. Desde o fim do evento que não paro de cantar duas músicas que aprendi no Bumbódromo (arena onde ocorre o espetáculo). Revezo entre “meu amor, eu sou feliz, ééé azul o meu país”, obviamente do boi azul, o Caprichoso; e “vermelhou o curral, a ideologia avermelhou”, do boi vermelho, o Garantido. Esse revezamento seria proibido em Parintins, cidade tão dividida entre as torcidas dos bois. Em Parintins, você tem de ter um lado. Há aqueles que tentam fugir e dizem que são “garanchoso”, com os quais me identifiquei, mas esses são vistos com certo desdém. DYNIEWICZ, L. Disponível em: https://viagem.estadao.com.br. Acesso em: 22 nov. 2018 (adaptado). A apropriação de elementos como rivalidade, competitividade, torcida e gritos de guerra pelo festival de Parintins evidencia a";escolha de um local específico para a festa.;importância atribuída pelos turistas aos bois.;interação social estabelecida após o evento.;aproximação da manifestação folclórica com o esporte.;composição de enredos musicais pelos “garanchosos”.;0
